timestamp,message
1765886407347,2025-12-16T20:00:07.346+08:00  WARN 1 --- [nexus-support-ai] [           main] o.a.c.loader.WebappClassLoaderBase       : The web application [ROOT] appears to have started a thread named [HikariPool-1 housekeeper] but has failed to stop it. This is very likely to create a memory leak. Stack trace of thread:
1765886407347, java.base@17.0.17/jdk.internal.misc.Unsafe.park(Native Method)
1765886407347, java.base@17.0.17/java.util.concurrent.locks.LockSupport.parkNanos(Unknown Source)
1765886407347, java.base@17.0.17/java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject.awaitNanos(Unknown Source)
1765886407347, java.base@17.0.17/java.util.concurrent.ScheduledThreadPoolExecutor$DelayedWorkQueue.take(Unknown Source)
1765886407347, java.base@17.0.17/java.util.concurrent.ScheduledThreadPoolExecutor$DelayedWorkQueue.take(Unknown Source)
1765886407347, java.base@17.0.17/java.util.concurrent.ThreadPoolExecutor.getTask(Unknown Source)
1765886407347, java.base@17.0.17/java.util.concurrent.ThreadPoolExecutor.runWorker(Unknown Source)
1765886407347, java.base@17.0.17/java.util.concurrent.ThreadPoolExecutor$Worker.run(Unknown Source)
1765886407347, java.base@17.0.17/java.lang.Thread.run(Unknown Source)
1765886407350,2025-12-16T20:00:07.350+08:00  WARN 1 --- [nexus-support-ai] [           main] ConfigServletWebServerApplicationContext : Exception encountered during context initialization - cancelling refresh attempt: org.springframework.context.ApplicationContextException: Unable to start web server
1765886407595,2025-12-16T20:00:07.588+08:00 ERROR 1 --- [nexus-support-ai] [           main] o.s.boot.SpringApplication               : Application run failed
1765886407595,org.springframework.context.ApplicationContextException: Unable to start web server
1765886407595,	at org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext.onRefresh(ServletWebServerApplicationContext.java:165) ~[spring-boot-3.2.5.jar!/:3.2.5]
1765886407595,	at org.springframework.context.support.AbstractApplicationContext.refresh(AbstractApplicationContext.java:618) ~[spring-context-6.1.6.jar!/:6.1.6]
1765886407595,	at org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext.refresh(ServletWebServerApplicationContext.java:146) ~[spring-boot-3.2.5.jar!/:3.2.5]
1765886407595,	at org.springframework.boot.SpringApplication.refresh(SpringApplication.java:754) ~[spring-boot-3.2.5.jar!/:3.2.5]
1765886407595,	at org.springframework.boot.SpringApplication.refreshContext(SpringApplication.java:456) ~[spring-boot-3.2.5.jar!/:3.2.5]
1765886407595,	at org.springframework.boot.SpringApplication.run(SpringApplication.java:334) ~[spring-boot-3.2.5.jar!/:3.2.5]
1765886407595,	at org.springframework.boot.SpringApplication.run(SpringApplication.java:1354) ~[spring-boot-3.2.5.jar!/:3.2.5]
1765886407595,	at org.springframework.boot.SpringApplication.run(SpringApplication.java:1343) ~[spring-boot-3.2.5.jar!/:3.2.5]
